,City,Latitude,Longitude,Max temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hobart,-42.88,147.33,51.8,66,20,10.29,AU,1593397216
1,Kristinestad,62.27,21.38,61.75,86,67,9.6,FI,1593397216
2,Bluff,-46.6,168.33,48.65,81,96,14.85,NZ,1593397216
3,Rikitea,-23.12,-134.97,68.54,55,31,17.96,PF,1593397217
4,Lüderitz,-26.65,15.16,58.24,54,0,13.53,NA,1593397217
5,Bengkulu,-3.8,102.27,82.51,71,0,4.65,ID,1593397217
6,Khasan,42.43,130.64,63.91,88,99,6.17,RU,1593397218
7,Warrington,53.39,-2.58,55.4,76,100,17.22,GB,1593397218
8,Albany,42.6,-73.97,69.01,91,0,7.56,US,1593397218
9,Kalevala,65.2,31.17,49.59,71,0,3.85,RU,1593397219
10,Longyearbyen,78.22,15.64,41.0,74,75,10.29,SJ,1593397219
11,Kavieng,-2.57,150.8,85.44,72,10,12.19,PG,1593397219
12,Burns Lake,54.23,-125.75,69.42,33,80,1.88,CA,1593397220
13,Hilo,19.73,-155.09,82.4,61,90,9.17,US,1593397047
14,Grindavik,63.84,-22.43,51.8,93,100,4.7,IS,1593397220
15,Busselton,-33.65,115.33,57.99,88,73,25.66,AU,1593397221
16,Senador José Porfírio,-2.59,-51.95,74.86,93,23,2.55,BR,1593397221
17,Arlit,18.74,7.39,87.44,13,0,6.15,NE,1593397222
18,Zhangjiakou Shi Xuanhua Qu,40.61,115.04,74.21,58,48,9.91,CN,1593397222
19,Punta Arenas,-53.15,-70.92,28.4,86,46,5.82,CL,1593397223
20,Ushuaia,-54.8,-68.3,33.8,80,40,13.87,AR,1593397223
21,Barrow,71.29,-156.79,46.4,70,1,14.99,US,1593397223
22,Atuona,-9.8,-139.03,80.44,76,3,14.05,PF,1593397224
23,Cape Town,-33.93,18.42,57.0,93,75,10.29,ZA,1593397224
24,Bethel,41.37,-73.41,69.01,100,40,0.72,US,1593397224
25,Douglas,41.3,-96.17,84.0,74,75,14.99,US,1593397225
26,Richmond Hill,43.87,-79.44,75.0,64,0,1.99,CA,1593397225
27,Itarema,-2.92,-39.92,78.26,83,1,12.33,BR,1593397225
28,Chenghai,23.46,116.77,89.6,62,40,8.95,CN,1593397226
29,São João da Barra,-21.64,-41.05,68.68,85,68,11.56,BR,1593397227
30,Maţāy,28.42,30.78,71.4,72,0,10.92,EG,1593397227
31,Sibolga,1.74,98.78,85.33,61,0,0.96,ID,1593396934
32,Coruripe,-10.13,-36.18,74.68,84,14,8.28,BR,1593397228
33,Hermanus,-34.42,19.23,55.99,82,76,5.01,ZA,1593397228
34,Mahébourg,-20.41,57.7,69.01,85,3,5.01,MU,1593397228
35,Butaritari,3.07,172.79,83.41,71,78,12.08,KI,1593397229
36,Ak-Dovurak,51.18,90.6,63.23,66,100,2.57,RU,1593397230
37,La Ronge,55.1,-105.28,66.2,72,75,11.41,CA,1593397230
38,Bonthe,7.53,-12.51,77.07,88,100,7.65,SL,1593397231
39,Pevek,69.7,170.31,32.5,98,100,13.67,RU,1593397231
40,Vaini,-21.2,-175.2,78.8,88,75,8.05,TO,1593397231
41,Dum Duma,27.57,95.57,81.12,88,63,1.5,IN,1593397232
42,Lagoa,39.05,-27.98,67.06,94,0,8.14,PT,1593397232
43,Thompson,55.74,-97.86,55.4,87,90,10.29,CA,1593397233
44,Guaymas,27.93,-110.9,93.2,52,5,12.75,MX,1593397233
45,Ahipara,-35.17,173.17,58.26,77,92,18.05,NZ,1593397233
46,Cururupu,-1.83,-44.87,75.0,94,1,2.82,BR,1593397234
47,Mentakab,3.49,102.35,82.18,82,64,1.07,MY,1593397234
48,Borodinskiy,54.0,37.82,58.62,95,92,12.41,RU,1593397235
49,Chālūs,36.66,51.42,68.0,77,90,2.24,IR,1593397235
50,San Quintín,30.48,-115.95,65.25,76,64,7.52,MX,1593397236
51,Kahului,20.89,-156.47,89.6,46,40,19.46,US,1593397137
52,Cabo San Lucas,22.89,-109.91,82.99,58,75,3.36,MX,1593397236
53,Lensk,60.73,114.93,82.2,36,1,8.84,RU,1593397237
54,Bama,11.52,13.69,84.74,58,80,6.31,NG,1593397237
55,Port Alfred,-33.59,26.89,59.0,64,12,8.01,ZA,1593397237
56,George Town,5.41,100.34,86.0,79,20,5.82,MY,1593397099
57,San Patricio,19.22,-104.7,80.6,74,75,11.41,MX,1593397238
58,Saskylakh,71.92,114.08,87.58,27,4,10.38,RU,1593397238
59,Sivaki,52.63,126.75,76.84,47,86,3.71,RU,1593397239
60,Laguna,38.42,-121.42,77.0,38,1,10.29,US,1593397239
61,Toma,12.77,-2.88,74.8,72,100,9.15,BF,1593397240
62,Portree,57.41,-6.19,52.0,93,100,1.99,GB,1593397240
63,Vostok,46.49,135.88,69.37,56,100,3.74,RU,1593397240
64,Nanning,22.82,108.32,89.6,62,20,4.47,CN,1593397153
65,Lethem,3.38,-59.8,76.01,86,100,6.44,GY,1593397241
66,Eyl,7.98,49.82,80.44,69,26,24.52,SO,1593397241
67,Arraial do Cabo,-22.97,-42.03,69.66,75,90,16.35,BR,1593397242
68,Port Hedland,-20.32,118.57,82.4,18,0,4.7,AU,1593397242
69,Amahai,-3.33,128.92,80.38,77,100,4.0,ID,1593397242
70,Yulara,-25.24,130.99,60.8,29,0,2.24,AU,1593397243
71,Salalah,17.02,54.09,84.2,89,75,3.36,OM,1593397243
72,Mataura,-46.19,168.86,46.4,89,97,4.34,NZ,1593397244
73,Upernavik,72.79,-56.15,39.25,74,0,10.63,GL,1593397244
74,Manono,-7.3,27.42,70.75,47,31,3.78,CD,1593397244
75,Shahrud,36.42,54.98,63.36,59,27,12.55,IR,1593397245
76,Sevlievo,43.03,25.11,66.0,88,3,3.0,BG,1593397245
77,Marsá Maţrūḩ,31.35,27.25,68.0,82,40,6.93,EG,1593397245
78,Mehamn,71.04,27.85,41.41,83,71,9.42,NO,1593397246
79,Tuktoyaktuk,69.45,-133.04,48.2,81,20,10.29,CA,1593397246
80,Garissa,-0.45,39.64,72.54,87,19,11.95,KE,1593397246
81,Safaga,26.73,33.94,84.2,32,0,5.82,EG,1593397247
82,Guerrero Negro,27.98,-114.06,66.45,75,0,14.34,MX,1593397247
83,Cayenne,4.93,-52.33,75.2,100,20,7.7,GF,1593397247
84,Kadoma,34.73,135.58,82.99,51,40,4.7,JP,1593397010
85,Puerto Ayora,-0.74,-90.35,71.01,91,46,9.22,EC,1593397249
86,Acandí,8.51,-77.28,77.97,87,100,1.74,CO,1593397250
87,Cidreira,-30.18,-50.21,55.51,64,0,7.61,BR,1593397250
88,Kloulklubed,7.04,134.26,78.8,88,90,3.36,PW,1593397250
89,Klaksvík,62.23,-6.59,55.4,76,53,13.87,FO,1593397251
90,Larap,14.3,122.65,87.66,63,90,5.48,PH,1593397251
91,Tura,25.52,90.22,78.31,92,35,5.84,IN,1593397251
92,Kathmandu,27.72,85.32,73.4,94,75,2.24,NP,1593396988
93,Tasiilaq,65.61,-37.64,41.0,93,100,3.36,GL,1593397252
94,Bathsheba,13.22,-59.52,82.4,78,20,14.99,BB,1593397252
95,Hirara,24.8,125.28,87.8,79,75,14.99,JP,1593397202
96,Abu Samrah,35.3,37.18,71.13,59,0,12.73,SY,1593397253
97,Tinskoy,56.15,96.92,68.56,61,3,7.83,RU,1593397254
98,Castro,-24.79,-50.01,48.2,97,21,8.14,BR,1593397254
99,Leningradskiy,69.38,178.42,31.87,98,99,5.17,RU,1593397255
100,Harper,4.38,-7.72,75.92,82,54,10.0,LR,1593397255
101,Mulino,56.29,42.92,50.0,81,0,6.71,RU,1593397256
102,Isangel,-19.55,169.27,75.2,78,90,5.82,VU,1593397257
103,Coyhaique,-45.58,-72.07,32.0,95,90,4.7,CL,1593397257
104,Ilhabela,-23.78,-45.36,65.71,79,99,6.64,BR,1593397257
105,Saldanha,-33.01,17.94,56.1,70,87,2.17,ZA,1593397234
106,Sinop Province,41.77,34.87,57.97,71,0,3.36,TR,1593397258
107,Valdivia,-39.81,-73.25,50.0,87,40,6.93,CL,1593397258
108,Alice Springs,-23.7,133.88,60.8,31,0,3.36,AU,1593396981
109,Dikson,73.51,80.55,42.84,99,99,22.03,RU,1593397259
110,Sakakah,29.97,40.21,82.4,23,0,6.93,SA,1593397259
111,Codrington,-38.27,141.97,53.85,64,0,5.82,AU,1593397260
112,Geraldton,-28.77,114.6,68.0,64,90,21.92,AU,1593397083
113,Kazachinskoye,57.7,93.28,66.6,53,100,4.03,RU,1593397261
114,Nikolskoye,59.7,30.79,57.2,62,0,6.71,RU,1593397261
115,Barcelos,41.54,-8.62,64.0,93,90,10.29,PT,1593397262
116,Sur,22.57,59.53,85.75,68,88,11.68,OM,1593397262
117,Sobolevo,54.43,31.9,57.99,93,0,6.24,RU,1593397262
118,Bambous Virieux,-20.34,57.76,69.01,85,2,5.01,MU,1593397263
119,Hithadhoo,-0.6,73.08,84.56,71,13,7.85,MV,1593397263
120,Qaanaaq,77.48,-69.36,41.67,65,0,2.3,GL,1593397263
121,Oranjestad,12.52,-70.03,82.4,83,40,17.22,AW,1593397264
122,Saint-Philippe,-21.36,55.77,68.0,72,38,6.93,RE,1593397264
123,Vredendal,-31.67,18.5,48.94,85,0,3.04,ZA,1593397242
124,Nome,64.5,-165.41,46.99,93,90,3.36,US,1593397031
125,Nador,35.17,-2.93,71.6,60,0,2.24,MA,1593397266
126,Severo-Kuril'sk,50.68,156.12,55.15,58,89,6.53,RU,1593397266
127,Carnarvon,-24.87,113.63,71.6,83,0,11.41,AU,1593397254
128,Buala,-8.14,159.59,84.49,71,31,5.03,SB,1593397267
129,East London,-33.02,27.91,58.73,58,0,16.62,ZA,1593397267
130,Ponta do Sol,32.67,-17.1,69.8,77,20,16.11,PT,1593397267
131,Lloró,5.5,-76.55,75.07,93,100,0.45,CO,1593397268
132,Egvekinot,66.32,-179.17,37.67,76,100,9.01,RU,1593397268
133,Poum,-20.23,164.02,72.45,62,1,15.68,NC,1593397268
134,Inuvik,68.35,-133.72,68.0,34,20,11.41,CA,1593397246
135,Dzhebariki-Khaya,62.22,135.8,88.72,29,0,3.11,RU,1593397269
136,Viedma,-40.81,-63.0,41.16,80,100,5.77,AR,1593397270
137,Kyshtovka,56.55,76.63,52.77,95,100,19.35,RU,1593397270
138,Torbay,47.67,-52.73,63.0,93,90,5.82,CA,1593397270
139,São Filipe,14.9,-24.5,75.43,79,2,11.41,CV,1593397271
140,Kruisfontein,-34.0,24.73,49.28,80,0,10.74,ZA,1593397041
141,Broome,42.25,-75.83,66.99,100,0,2.86,US,1593397271
142,Touros,-5.2,-35.46,73.4,94,75,5.82,BR,1593397272
143,Forio,40.73,13.86,73.0,79,0,1.99,IT,1593397272
144,Rabaul,-4.2,152.17,83.89,68,15,3.69,PG,1593397272
145,Avarua,-21.21,-159.78,75.2,69,1,14.99,CK,1593397273
146,Borogontsy,62.67,131.17,87.55,29,0,4.65,RU,1593397273
147,Orán,-23.13,-64.33,55.0,88,0,2.44,AR,1593397273
148,Roanoke Rapids,36.46,-77.65,77.0,88,1,3.36,US,1593397274
149,Kirakira,-10.45,161.92,84.92,70,47,7.85,SB,1593397274
150,Santa Cruz de la Sierra,-17.8,-63.17,59.0,93,90,0.89,BO,1593397252
151,Tuatapere,-46.13,167.68,47.64,83,100,11.36,NZ,1593397254
152,Westport,41.14,-73.36,70.0,98,29,0.45,US,1593397275
153,Srednekolymsk,67.45,153.68,56.35,44,100,3.53,RU,1593397276
154,Kapaa,22.08,-159.32,84.2,66,1,10.29,US,1593397276
155,Wuelfrath,51.28,7.05,62.01,82,6,5.82,DE,1593397277
156,Broken Hill,-31.95,141.43,53.6,58,0,9.17,AU,1593397278
157,Dingle,11.0,122.67,84.16,70,100,3.04,PH,1593397278
158,Churapcha,62.0,132.43,86.76,27,0,3.8,RU,1593397278
159,Norman Wells,65.28,-126.83,75.2,25,20,8.05,CA,1593397243
160,Avera,33.19,-82.53,82.4,69,1,5.82,US,1593397279
161,Mandiana,10.63,-8.68,75.27,89,56,5.19,GN,1593397279
162,Luanda,-8.84,13.23,69.8,88,40,2.24,AO,1593396983
163,Omsukchan,62.53,155.8,69.71,37,100,12.66,RU,1593397280
164,Chokurdakh,70.63,147.92,60.17,48,100,3.98,RU,1593397280
165,Jamestown,42.1,-79.24,69.8,73,1,4.7,US,1593397281
166,Padang,-0.95,100.35,84.04,67,25,1.19,ID,1593397074
167,Cuajinicuilapa,16.47,-98.42,79.86,79,62,3.06,MX,1593397282
168,Vardø,70.37,31.11,41.2,84,100,9.06,NO,1593397282
169,Marrakesh,31.63,-8.01,73.4,64,0,5.82,MA,1593397282
170,Christchurch,-43.53,172.63,48.0,81,100,6.93,NZ,1593397062
171,Juegang,32.32,121.19,79.0,98,100,18.12,CN,1593397120
172,Bredasdorp,-34.53,20.04,55.4,76,7,13.87,ZA,1593397284
173,Esperance,-33.87,121.9,55.4,76,40,18.34,AU,1593397284
174,Makkah al Mukarramah,21.43,39.83,89.13,23,99,6.11,SA,1593397076
175,Nouadhibou,20.93,-17.03,69.8,83,5,20.8,MR,1593397285
176,Troitskoye,52.98,84.68,61.12,69,100,12.19,RU,1593397285
177,Tuy Hoa,13.08,109.3,82.26,68,100,13.11,VN,1593397286
178,Grand Gaube,-20.01,57.66,69.01,85,20,5.01,MU,1593397286
179,Qiongshan,20.01,110.35,89.6,66,98,6.71,CN,1593397286
180,Binabalian Ricor,16.42,119.93,83.61,77,100,13.53,PH,1593397287
181,Springhill,33.01,-93.47,80.01,88,95,5.64,US,1593397007
182,Mehrān,33.12,46.16,66.2,29,0,4.7,IR,1593397287
183,Erenhot,43.65,111.98,72.59,48,95,17.27,CN,1593397288
184,Laas,46.62,10.7,59.0,93,5,2.24,IT,1593397288
185,Faanui,-16.48,-151.75,76.01,78,100,24.2,PF,1593397254
186,Khatanga,71.97,102.5,87.89,26,0,14.56,RU,1593397289
187,Aklavik,68.22,-135.01,68.0,34,20,11.41,CA,1593397290
188,Vila Franca do Campo,37.72,-25.43,66.2,93,40,2.24,PT,1593397291
189,Saint George,37.1,-113.58,91.99,21,1,34.45,US,1593397291
190,Iskateley,67.68,53.15,39.85,83,100,13.56,RU,1593397292
191,Vegreville,53.5,-112.05,58.3,84,100,11.48,CA,1593397292
192,Asău,46.43,26.4,62.01,86,0,4.29,RO,1593397293
193,Tabriz,38.08,46.29,60.8,67,75,9.17,IR,1593397293
194,Ixtapa,20.7,-105.2,86.0,62,75,5.82,MX,1593397294
195,Phatthalung,7.5,100.08,84.81,70,71,5.99,TH,1593397294
196,Port Elizabeth,-33.92,25.57,57.2,62,15,16.11,ZA,1593397294
197,Port Hardy,50.7,-127.42,66.2,63,20,12.75,CA,1593397295
198,Ribeira Grande,38.52,-28.7,67.37,93,7,5.55,PT,1593397295
199,Kidal,18.44,1.41,88.63,13,0,10.4,ML,1593397295
200,Airai,-8.93,125.41,69.15,69,98,4.47,TL,1593397296
201,Tiksi,71.69,128.87,43.59,62,100,4.76,RU,1593397296
202,Bodden Town,19.28,-81.25,84.0,81,1,3.0,KY,1593397297
203,Cedar City,37.68,-113.06,80.6,19,1,29.97,US,1593397297
204,Poronaysk,49.22,143.12,56.5,69,0,10.83,RU,1593397297
205,Hofn,64.25,-15.21,52.25,72,100,20.13,IS,1593397298
206,Cabedelo,-6.98,-34.83,73.4,94,40,5.82,BR,1593397298
207,Fuerte Olimpo,-21.04,-57.87,61.83,72,77,1.03,PY,1593397252
208,Pelym,61.01,62.0,52.23,68,84,7.25,RU,1593397299
209,Teya,60.38,92.63,65.21,49,98,5.37,RU,1593397299
210,New Norfolk,-42.78,147.06,50.0,86,3,2.21,AU,1593397299
211,Awjilah,29.11,21.29,75.22,41,0,8.86,LY,1593397300
212,Narsaq,60.92,-46.05,46.4,70,75,12.75,GL,1593397300
213,Scottsbluff,41.87,-103.67,78.8,47,1,7.85,US,1593397249
214,Olpād,21.33,72.75,87.01,72,2,9.42,IN,1593397301
215,Lorengau,-2.02,147.27,86.16,70,27,9.51,PG,1593397301
216,Katsuura,35.13,140.3,80.01,78,40,6.93,JP,1593397301
217,Van Buren,35.44,-94.35,82.4,74,75,3.36,US,1593397302
218,Forsytheganj,52.63,29.73,59.27,96,0,6.04,BY,1593397302
219,Yārāda,17.65,83.27,85.33,76,100,5.75,IN,1593397302
220,Arrondissement de Saint-Denis,48.92,2.33,61.0,77,90,6.93,FR,1593397303
221,Hyères,43.12,6.12,73.99,77,0,4.7,FR,1593397303
222,Kaitangata,-46.28,169.85,51.01,66,81,8.01,NZ,1593397304
223,Tsimmerbude,54.67,20.13,64.4,100,40,2.24,RU,1593397304
224,Sucre,-19.03,-65.26,52.32,62,0,3.31,BO,1593397304
225,Łobez,53.64,15.62,61.0,84,100,2.93,PL,1593397305
226,Anadyr,64.75,177.48,48.2,66,40,15.66,RU,1593397305
227,Houma,29.6,-90.72,82.0,70,100,4.0,US,1593397306
228,El Alto,-4.27,-81.21,62.74,89,84,12.84,PE,1593397306
229,Yellowknife,62.46,-114.35,69.8,32,20,12.75,CA,1593397307
230,Kumul,42.8,93.45,87.01,16,0,10.18,CN,1593397085
231,Lahaina,20.88,-156.68,89.6,46,40,19.46,US,1593397307
232,Onega,63.91,38.14,44.53,79,30,1.5,RU,1593397308
233,Robertson,36.52,-86.87,73.4,100,20,5.68,US,1593397308
234,Puerto Escondido,15.85,-97.07,81.37,75,66,4.34,MX,1593397308
235,Upata,8.01,-62.4,72.59,90,100,4.25,VE,1593397309
236,Skellefteå,64.75,20.95,55.4,87,17,4.7,SE,1593397309
237,Nangong,37.36,115.37,82.63,49,17,5.91,CN,1593397309
238,Nara,34.69,135.8,86.0,54,40,1.12,JP,1593397043
239,Lumphat,13.49,106.98,80.89,78,99,4.23,KH,1593397037
240,Akdepe,42.06,59.38,69.8,56,100,3.36,TM,1593397310
241,Henties Bay,-22.12,14.28,55.83,76,43,3.98,NA,1593397311
242,Olavarría,-36.89,-60.32,41.0,82,89,5.01,AR,1593397311
243,Vila Velha,-20.33,-40.29,71.01,83,70,10.29,BR,1593397311
244,Myitkyina,25.38,97.4,81.07,89,77,1.01,MM,1593397312
245,Daru,-9.08,143.21,79.16,83,88,16.93,PG,1593397312
246,Camacha,33.08,-16.33,69.8,77,75,13.87,PT,1593397312
247,Artyom,40.47,50.33,60.8,82,22,2.24,AZ,1593397313
248,Waitakere,-36.92,174.66,57.99,87,92,11.41,NZ,1593397211
249,Babaeski,41.43,27.09,63.86,61,0,2.66,TR,1593397314
250,Mandera,3.94,41.87,78.19,68,5,15.99,KE,1593397209
251,Terra Santa,-2.1,-56.49,73.76,94,74,2.13,BR,1593397315
252,Dakar,14.69,-17.44,78.8,74,75,9.17,SN,1593397080
253,Nesna,66.2,13.02,55.99,77,0,3.0,NO,1593397315
254,Meulaboh,4.14,96.13,82.13,75,73,5.61,ID,1593397255
255,Kitimat,54.05,-128.65,75.0,47,0,1.01,CA,1593397316
256,Provideniya,64.38,-173.3,42.8,75,40,15.66,RU,1593397316
257,Saint-Louis,16.33,-15.0,78.03,69,68,17.56,SN,1593397317
258,Pimentel,-6.84,-79.93,63.97,87,0,12.21,PE,1593397278
259,Tahe,52.33,124.73,77.27,47,50,3.31,CN,1593397317
260,Port Keats,-14.25,129.55,84.6,48,9,6.53,AU,1593397255
261,Ola,59.58,151.28,53.62,77,17,10.8,RU,1593397318
262,Fortuna,40.6,-124.16,62.01,76,90,12.75,US,1593397090
263,Hailar,49.2,119.7,76.8,43,5,10.98,CN,1593397214
264,Birin,26.89,88.07,68.02,95,91,3.62,NP,1593397319
265,Stornoway,58.21,-6.39,53.01,100,95,3.36,GB,1593397319
266,Nelson Bay,-32.72,152.15,61.0,67,40,3.36,AU,1593397320
267,Ossora,59.24,163.07,59.23,61,76,9.01,RU,1593397320
268,Mikun',62.35,50.08,43.97,85,97,6.49,RU,1593397320
269,Esna,25.29,32.55,82.4,32,0,5.82,EG,1593397321
270,Taquarituba,-23.53,-49.24,52.84,94,0,8.88,BR,1593397322
271,Pangnirtung,66.15,-65.71,45.14,68,63,2.13,CA,1593397248
272,San Cristobal,7.77,-72.22,65.64,85,100,2.71,VE,1593397323
273,Kirkwood,38.58,-90.41,88.0,58,40,8.05,US,1593397323
274,Chapais,49.78,-74.85,64.4,72,1,4.7,CA,1593397324
275,Benjamin Constant,-4.38,-70.03,77.0,100,100,1.21,BR,1593397324
276,Bulgan,48.81,103.53,67.39,62,0,11.86,MN,1593397324
277,Khovd,48.01,91.64,70.7,37,100,4.9,MN,1593397325
